2026-04-16T21:50:50 | LOGIN_FAILURE | hunter2 | -
2026-04-16T21:57:40 | LOGIN_SUCCESS | ligma | -
2026-04-16T21:57:40 | SESSION_CREATED | ligma | sid=Ppy5VWGk...
2026-04-16T21:57:45 | BALANCE_UPDATE | 2 | new=121
2026-04-16T21:57:49 | BALANCE_UPDATE | 2 | new=123
2026-04-16T21:57:50 | BALANCE_UPDATE | 2 | new=120
2026-04-16T21:57:52 | BALANCE_UPDATE | 2 | new=127
2026-04-16T21:57:53 | BALANCE_UPDATE | 2 | new=129
2026-04-16T21:57:54 | BALANCE_UPDATE | 2 | new=149
2026-04-16T21:57:56 | BALANCE_UPDATE | 2 | new=150
2026-04-16T21:57:57 | BALANCE_UPDATE | 2 | new=170
2026-04-16T21:57:58 | BALANCE_UPDATE | 2 | new=165
2026-04-16T21:57:58 | BALANCE_UPDATE | 2 | new=185
2026-04-16T21:57:59 | BALANCE_UPDATE | 2 | new=205
2026-04-16T21:58:00 | BALANCE_UPDATE | 2 | new=210
2026-04-16T21:58:00 | BALANCE_UPDATE | 2 | new=207
2026-04-16T21:58:01 | BALANCE_UPDATE | 2 | new=202
2026-04-16T21:58:02 | BALANCE_UPDATE | 2 | new=224
2026-04-16T21:58:03 | BALANCE_UPDATE | 2 | new=254
2026-04-16T21:58:03 | LARGE_WIN | ligma | stake=5 winnings=35
2026-04-16T21:58:03 | BALANCE_UPDATE | 2 | new=251
2026-04-16T21:58:04 | BALANCE_UPDATE | 2 | new=283
2026-04-16T21:58:04 | LARGE_WIN | ligma | stake=5 winnings=37
2026-04-16T21:58:05 | BALANCE_UPDATE | 2 | new=283
2026-04-16T21:58:07 | BALANCE_UPDATE | 2 | new=303
2026-04-16T21:58:08 | BALANCE_UPDATE | 2 | new=323
2026-04-16T21:58:09 | BALANCE_UPDATE | 2 | new=336
2026-04-16T21:58:26 | LOGOUT | ligma | sid=Ppy5VWGk...
2026-04-16T21:58:51 | LOGIN_SUCCESS | ligma | -
2026-04-16T21:58:51 | SESSION_CREATED | ligma | sid=bnuy9vpB...
2026-04-16T21:58:54 | BALANCE_UPDATE | 2 | new=346
2026-04-16T21:58:57 | BALANCE_UPDATE | 2 | new=341
2026-04-16T21:58:58 | BALANCE_UPDATE | 2 | new=342
2026-04-16T21:58:58 | BALANCE_UPDATE | 2 | new=374
2026-04-16T21:58:58 | LARGE_WIN | ligma | stake=5 winnings=37
2026-04-16T21:58:59 | BALANCE_UPDATE | 2 | new=369
2026-04-16T21:59:00 | BALANCE_UPDATE | 2 | new=370
2026-04-16T21:59:00 | BALANCE_UPDATE | 2 | new=385
2026-04-16T21:59:01 | BALANCE_UPDATE | 2 | new=387
2026-04-16T21:59:02 | BALANCE_UPDATE | 2 | new=384
2026-04-16T21:59:02 | BALANCE_UPDATE | 2 | new=379
2026-04-16T21:59:03 | BALANCE_UPDATE | 2 | new=386
2026-04-16T21:59:03 | BALANCE_UPDATE | 2 | new=416
2026-04-16T21:59:03 | LARGE_WIN | ligma | stake=5 winnings=35
2026-04-16T21:59:04 | BALANCE_UPDATE | 2 | new=421
2026-04-16T21:59:05 | BALANCE_UPDATE | 2 | new=416
2026-04-16T21:59:05 | BALANCE_UPDATE | 2 | new=421
2026-04-16T21:59:06 | BALANCE_UPDATE | 2 | new=441
2026-04-16T21:59:07 | BALANCE_UPDATE | 2 | new=451
2026-04-16T21:59:07 | BALANCE_UPDATE | 2 | new=461
2026-04-16T21:59:08 | BALANCE_UPDATE | 2 | new=491
2026-04-16T21:59:08 | LARGE_WIN | ligma | stake=5 winnings=35
2026-04-16T21:59:10 | BALANCE_UPDATE | 2 | new=486
